iter	Passed	Remaining
0	198	39514
1	232	23054
2	278	18319
3	317	15557
4	351	13723
5	395	12789
6	436	12026
7	476	11431
8	519	11024
9	559	10632
10	595	10230
11	626	9820
12	659	9488
13	687	9136
14	713	8804
15	742	8537
16	774	8333
17	800	8098
18	832	7926
19	862	7758
20	894	7625
21	922	7464
22	951	7320
23	978	7179
24	1009	7069
25	1037	6946
26	1065	6826
27	1093	6716
28	1122	6620
29	1148	6510
30	1172	6392
31	1196	6280
32	1221	6180
33	1245	6080
34	1272	6001
35	1300	5922
36	1325	5838
37	1351	5762
38	1381	5705
39	1407	5630
40	1434	5564
41	1460	5495
42	1487	5429
43	1518	5384
44	1543	5316
45	1572	5262
46	1599	5206
47	1628	5155
48	1652	5093
49	1678	5035
50	1704	4979
51	1730	4925
52	1760	4883
53	1786	4830
54	1814	4784
55	1841	4734
56	1872	4696
57	1900	4653
58	1929	4612
59	1954	4560
60	1978	4509
61	2006	4465
62	2032	4419
63	2058	4374
64	2084	4330
65	2110	4284
66	2141	4250
67	2167	4206
68	2191	4159
69	2217	4119
70	2245	4080
71	2270	4035
72	2294	3992
73	2318	3948
74	2340	3901
75	2371	3868
76	2394	3824
77	2429	3799
78	2462	3771
79	2493	3739
80	2521	3705
81	2566	3693
82	2619	3692
83	2651	3661
84	2680	3625
85	2705	3586
86	2731	3547
87	2756	3508
88	2780	3468
89	2807	3431
90	2833	3393
91	2857	3354
92	2885	3319
93	2908	3279
94	2932	3241
95	2957	3204
96	2983	3168
97	3012	3135
98	3038	3099
99	3062	3062
100	3088	3027
101	3120	2997
102	3144	2961
103	3171	2927
104	3199	2895
105	3226	2861
106	3253	2828
107	3280	2794
108	3307	2761
109	3330	2724
110	3356	2691
111	3382	2657
112	3409	2624
113	3436	2592
114	3464	2560
115	3492	2529
116	3523	2499
117	3547	2465
118	3571	2430
119	3595	2396
120	3618	2362
121	3644	2330
122	3668	2296
123	3692	2263
124	3720	2232
125	3751	2203
126	3775	2170
127	3802	2139
128	3829	2107
129	3860	2078
130	3885	2046
131	3909	2013
132	3933	1981
133	3962	1951
134	3986	1919
135	4011	1887
136	4036	1856
137	4062	1825
138	4086	1793
139	4114	1763
140	4139	1731
141	4163	1700
142	4188	1669
143	4213	1638
144	4243	1609
145	4267	1578
146	4290	1546
147	4313	1515
148	4339	1485
149	4367	1455
150	4391	1425
151	4414	1394
152	4439	1363
153	4466	1334
154	4494	1304
155	4518	1274
156	4542	1244
157	4566	1213
158	4594	1184
159	4620	1155
160	4644	1125
161	4667	1094
162	4690	1064
163	4717	1035
164	4745	1006
165	4771	977
166	4796	947
167	4820	918
168	4845	888
169	4871	859
170	4895	830
171	4924	801
172	4956	773
173	5004	747
174	5041	720
175	5070	691
176	5099	662
177	5126	633
178	5153	604
179	5177	575
180	5202	546
181	5226	516
182	5252	487
183	5280	459
184	5306	430
185	5331	401
186	5355	372
187	5381	343
188	5405	314
189	5429	285
190	5454	257
191	5479	228
192	5504	199
193	5529	171
194	5554	142
195	5579	113
196	5610	85
197	5637	56
198	5662	28
199	5686	0
